3457;JARDINERA RECT. 8,5 Lt. (40 cm. X 17,5 cm.) roja.;6;1,63
3458;JARDINERA RECT. 8,5 Lt. (40 cm. X 17,5 cm.) blanca.;6;1,63
3459;JARDINERA RECT. 8,5 Lt. (40 cm. X 17,5 cm.) negra.;6;1,63
3460;JARDINERA RECT. 8,5 Lt. (40 cm. X 17,5 cm.) oro.;6;1,63
3461;MACETA 27 CM. MARRON C/COLGADOR.;6;2,02
3462;MACETA 31 CM. MARRON C/COLGADOR.;6;2,24
3465;MACETA 27 CM. VERDE C/COLGADOR.;6;2,02
3466;MACETA 31 CM. VERDE C/COLGADOR.;6;2,24
3301;SOPORTE JARDINERA 40 CM.;12;1,47
3292;SOPORTE JARDINERA METAL. C/SEGURIDAD.;12;1,67
3422;SOPORTE JARDINERA FORJA 38 cm. X 19 cm.;12;1,71
3293;SOPORTE JARDINERA FORJA 27 cm. X 19 cm.;12;1,59
3294;SOPORTE SUELO 20 CM. NEGRO.;12;1,09
3295;SOPORTE SUELO 25 CM. NEGRO.;12;1,27
3296;SOPORTE SUELO 30 CM. NEGRO.;12;1,43
3297;SOPORTE SUELO 35 CM. NEGRO.;12;1,64
3300;SOPORTE BALCON C/2 PLATOS NEGRO.;12;3,45
3352;SOPORTE BALCON C/2 PLATOS BLANCO.;12;3,69
3426;SOPORTE BALCON C/2 PLATOS PISTACHO.;12;3,85
3429;SOPORTE BALCON C/2 PLATOS FUSIA.;12;3,69
3423;SOPORTE PARED C/DOS PLATOS 17 CM. NEGRO.;12;2,85
3436;SOPORTE PARED C/DOS PLATOS 17 CM. BLANCOS.;12;3,07
3432;SOPORTE PARED C/DOS PLATOS 17 CM. PISTACHO.;12;3,07
3435;SOPORTE PARED C/DOS PLATOS 17 CM. FUSIA.;12;3,07
3349;SOPORTE ARO PARED 16 CM. NEGRO.;12;0,95
3348;SOPORTE ARO PARED 20 CM. NEGRO.;12;1,05
3346;SOPORTE ARO BALCON 20 CM. NEGRO.;12;1,05
3347;SOPORTE ARO BALCON 16 CM. NEGRO.;12;0,95
3344;SOPORTE BALCON C/PLATO 22 CM. NEGRO.;12;1,83
3298;SOPORTE BALCON C/PLATO 17 CM. NEGRO.;12;1,75
3345;SOPORTE PARED C/PLATO 22 CM. NEGRO.;12;1,75
3299;SOPORTE PARED C/PLATO 17 CM. NEGRO.;12;1,71
3354;SOPORTE PARED C/PLATO 22 CM. BLANCO.;12;1,99
3431;SOPORTE PARED C/PLATO 22 CM. PISTACHO.;12;1,99
3434;SOPORTE PARED C/PLATO 22 CM. FUSIA.;12;1,99
3353;SOPORTE PARED C/PLATO 17 CM. BLANCO.;12;1,91
3430;SOPORTE PARED C/PLATO 17 CM. PISTACHO.;12;1,91
3433;SOPORTE PARED C/PLATO 17 CM. FUSIA.;12;1,91
3351;SOPORTE BALCON C/PLATO 22 CM. BLANCO.;12;2,09
3425;SOPORTE BALCON C/PLATO 22 CM. PISTACHO.;12;2,19
3428;SOPORTE BALCON C/PLATO 22 CM. FUSIA.;12;2,09
3350;SOPORTE BALCON C/PLATO 17 CM. BLANCO.;12;1,99
3424;SOPORTE BALCON C/PLATO 17 CM. PISTACHO.;12;2,09
3427;SOPORTE BALCON C/PLATO 17 CM. FUSIA.;12;1,99
3483;RASTRILLO 29X9 CM;12;0,98
3481;PALA CUCHARA 1 32X7 CM;12;0,98
3482;PALA CUCHARA 2 29X8 CM;12;0,98
3489U;MACETAS CERAMICA Nº 1;1;1,15
3489P;MACETAS CERAMICA Nº 1;1;600,00
3490U;MACETAS CERAMICA Nº 2;1;0,85
3490P;MACETAS CERAMICA Nº 2;1;650,00
3491U;MACETAS CERAMICA Nº 3;1;0,55
3491P;MACETAS CERAMICA Nº 3;1;700,00
